,citing author name,citing paper title,cited paper title,affiliated institution,latitude,longitude,county,city,state,country
0,Abbavaram Gowtham Reddy,Debiasing Machine Unlearning with Counterfactual Examples,Revisiting frequency analysis against encrypted deduplication via statistical distribution,Indian Institute of Technology Hyderabad,17.592275100000002,78.12218906710919,Kandi mandal,,Telangana,India
1,Tong Sun,{SimEnc}: A {High-Performance}{Similarity-Preserving} Encryption Approach for Deduplication of Encrypted Docker Images,Revisiting frequency analysis against encrypted deduplication via statistical distribution,Zhejiang University,30.521595,120.7195312,,Haining,Zhejiang,China
2,Geyong Min,Lightweight blockchain-empowered secure and efficient federated edge learning,Omnilytics: A blockchain-based secure data market for decentralized machine learning,University of Exeter,50.73693715,-3.534734858662963,Devon,Exeter,England,United Kingdom
3,Xuyang Ma,Torr: A lightweight blockchain for decentralized federated learning,Omnilytics: A blockchain-based secure data market for decentralized machine learning,University of Electronic Science and Technology of China,30.67823145,104.0980033903279,,Chengdu,Sichuan,China
4,Yi Gao,{SimEnc}: A {High-Performance}{Similarity-Preserving} Encryption Approach for Deduplication of Encrypted Docker Images,Revisiting frequency analysis against encrypted deduplication via statistical distribution,Zhejiang University,30.521595,120.7195312,,Haining,Zhejiang,China
5,Susmit Jha,Task-agnostic detector for insertion-based backdoor attacks,Model Extraction Attacks Revisited,SRI International,37.45648105,-122.17539244060208,San Mateo County,,California,United States
6,Wei Dong,{SimEnc}: A {High-Performance}{Similarity-Preserving} Encryption Approach for Deduplication of Encrypted Docker Images,Revisiting frequency analysis against encrypted deduplication via statistical distribution,Zhejiang University,30.521595,120.7195312,,Haining,Zhejiang,China
7,Jun Zhuang,Debiasing Machine Unlearning with Counterfactual Examples,Revisiting frequency analysis against encrypted deduplication via statistical distribution,Boise State University,43.6031707,-116.20261074563308,Ada County,Boise,Idaho,United States
8,Chaoyang He,Proof-of-Contribution-Based Design for Collaborative Machine Learning on Blockchain,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Co-founder,38.741297349999996,-104.79379387486324,El Paso County,,Colorado,United States
9,Rui Jin,Lightweight blockchain-empowered secure and efficient federated edge learning,Omnilytics: A blockchain-based secure data market for decentralized machine learning,University of Exeter,50.73693715,-3.534734858662963,Devon,Exeter,England,United Kingdom
10,Ziheng Chen,Debiasing Machine Unlearning with Counterfactual Examples,Revisiting frequency analysis against encrypted deduplication via statistical distribution,Stony Brook University,40.9090809,-73.12055180275716,Suffolk County,,New York,United States
11,Borui Li,{SimEnc}: A {High-Performance}{Similarity-Preserving} Encryption Approach for Deduplication of Encrypted Docker Images,Revisiting frequency analysis against encrypted deduplication via statistical distribution,SUNY - Binghamton University,42.08779975,-75.97066065614858,Broome County,City of Binghamton,New York,United States
12,Yifeng Zheng,LSDedup: Layered secure deduplication for cloud storage,Revisiting frequency analysis against encrypted deduplication via statistical distribution,Harbin Institute of Technology,45.741589,126.62556263488914,,Harbin,Heilongjiang,China
13,Xuyang Ma,Torr: A lightweight blockchain for decentralized federated learning,Omnilytics: A blockchain-based secure data market for decentralized machine learning,University of Electronic Science,30.67823145,104.0980033903279,,Chengdu,Sichuan,China
14,Ting Chen,Featurespy: Detecting learning-content attacks via feature inspection in secure deduplicated storage,Revisiting frequency analysis against encrypted deduplication via statistical distribution,UESTC,30.7367729,103.97192673898282,,Pidu District,Sichuan,China
15,Susmit Jha,Task-agnostic detector for insertion-based backdoor attacks,Omnilytics: A blockchain-based secure data market for decentralized machine learning,SRI International,37.45648105,-122.17539244060208,San Mateo County,,California,United States
16,Takayuki Shimizu,OOSTraj: Out-of-Sight Trajectory Prediction With Vision-Positioning Denoising,Pass: Patch automatic skip scheme for efficient on-device video perception,Toyota Motor North America,33.0826713,-96.842673191339,Denton County,Plano,Texas,United States
17,Shanshan Han,Proof-of-Contribution-Based Design for Collaborative Machine Learning on Blockchain,Omnilytics: A blockchain-based secure data market for decentralized machine learning,UCI,46.3182588,6.9331666,District d'Aigle,,Vaud,Switzerland
18,Haibin Ling,Task-agnostic detector for insertion-based backdoor attacks,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Stony Brook University,40.9090809,-73.12055180275716,Suffolk County,,New York,United States
19,Muhamed Turkanović,A review on building blocks of decentralized artificial intelligence,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Faculty of Electrical Engineering,41.316834,19.82188934873777,Tirana County,Tirana,Central Albania,Albania
20,Lu Pang,Task-agnostic detector for insertion-based backdoor attacks,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Stony Brook University,40.9090809,-73.12055180275716,Suffolk County,,New York,United States
21,Weimin Lyu,Task-agnostic detector for insertion-based backdoor attacks,Model Extraction Attacks Revisited,Stony Brook University,40.9090809,-73.12055180275716,Suffolk County,,New York,United States
22,Susmit Jha,Task-agnostic detector for insertion-based backdoor attacks,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Intelligence,51.487292350000004,-0.1243769864578416,,London,England,United Kingdom
23,Katinka Wolter,Towards blockchain-enabled decentralized and secure federated learning,Omnilytics: A blockchain-based secure data market for decentralized machine learning,FU Berlin,52.45285645,13.290724942928117,,Berlin,,Germany
24,Ye Fang,Gpt4point: A unified framework for point-language understanding and generation,Pass: Patch automatic skip scheme for efficient on-device video perception,Fudan University,31.30116485,121.49808756382322,,Yangpu District,Shanghai,China
25,Thu Nguyen,The benefits and challenges of applying Blockchain technology into Big Data: A literature review,Omnilytics: A blockchain-based secure data market for decentralized machine learning,"Ho Chi Minh City, Vietnam",10.7763897,106.7011391,,Ho Chi Minh City,,Vietnam
26,Changjiang Li,Model extraction attacks revisited,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Stony Brook,40.9256538,-73.140943,Suffolk County,,New York,United States
27,Thu Nguyen,The benefits and challenges of applying Blockchain technology into Big Data: A literature review,Omnilytics: A blockchain-based secure data market for decentralized machine learning,University of Information Technology,16.856110100000002,96.1352325743255,,Yangon,Yangon,Myanmar
28,Zhangyang Qi,Gpt4point: A unified framework for point-language understanding and generation,Pass: Patch automatic skip scheme for efficient on-device video perception,University of Hong Kong,22.28269745,114.13845499995571,,Hong Kong Island,Hong Kong,China
29,Jia Hu,Lightweight blockchain-empowered secure and efficient federated edge learning,Omnilytics: A blockchain-based secure data market for decentralized machine learning,University of Exeter,50.73693715,-3.534734858662963,Devon,Exeter,England,United Kingdom
30,Chaoyang He,Fedcv: a federated learning framework for diverse computer vision tasks,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Co-founder,38.741297349999996,-104.79379387486324,El Paso County,,Colorado,United States
31,Jingcai Guo,Fine-Grained Side Information Guided Dual-Prompts for Zero-Shot Skeleton Action Recognition,Pass: Patch automatic skip scheme for efficient on-device video perception,Hong Kong Polytechnic University,22.3027119,114.178059,,Kowloon,Hong Kong,China
32,Changjiang Li,Model extraction attacks revisited,PASS: patch automatic skip scheme for efficient real-time video perception on edge devices,Stony Brook,40.9256538,-73.140943,Suffolk County,,New York,United States
33,Xiaocheng Lu,Dual Expert Distillation Network for Generalized Zero-Shot Learning,Pass: Patch automatic skip scheme for efficient on-device video perception,The Hong Kong University of Science,22.4201838,114.20791453524086,,Sha Tin District,Hong Kong,China
34,Jingwei Li,Featurespy: Detecting learning-content attacks via feature inspection in secure deduplicated storage,Revisiting frequency analysis against encrypted deduplication via statistical distribution,University of Electronic Science,30.67823145,104.0980033903279,,Chengdu,Sichuan,China
35,Muhamed Turkanović,A review on building blocks of decentralized artificial intelligence,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Computer Science,40.80899825,-73.95987847188215,New York County,New York,New York,United States
36,Vid Keršič,A review on building blocks of decentralized artificial intelligence,Omnilytics: A blockchain-based secure data market for decentralized machine learning,University of Maribor,46.5592325,15.643293707372823,,Maribor,,Slovenia
37,Ren Pang,Model extraction attacks revisited,PASS: patch automatic skip scheme for efficient real-time video perception on edge devices,The Pennsylvania State University,40.8025835,-77.85593833184565,Centre County,,,United States
38,jiamei lv,{SimEnc}: A {High-Performance}{Similarity-Preserving} Encryption Approach for Deduplication of Encrypted Docker Images,Revisiting frequency analysis against encrypted deduplication via statistical distribution,Zhejiang University,30.521595,120.7195312,,Haining,Zhejiang,China
39,Ren Pang,Model extraction attacks revisited,Omnilytics: A blockchain-based secure data market for decentralized machine learning,The Pennsylvania State University,40.8025835,-77.85593833184565,Centre County,,,United States
40,Haibin Ling,Task-agnostic detector for insertion-based backdoor attacks,Model Extraction Attacks Revisited,Stony Brook University,40.9090809,-73.12055180275716,Suffolk County,,New York,United States
41,Xuyang Ma,Towards blockchain-enabled decentralized and secure federated learning,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Technology of China,31.2787148,120.72376292616886,,Suzhou Industrial Park,Jiangsu,China
42,Jingwei Li,Featurespy: Detecting learning-content attacks via feature inspection in secure deduplicated storage,Revisiting frequency analysis against encrypted deduplication via statistical distribution,Technology of China,31.2787148,120.72376292616886,,Suzhou Industrial Park,Jiangsu,China
43,Muhamed Turkanović,A review on building blocks of decentralized artificial intelligence,Omnilytics: A blockchain-based secure data market for decentralized machine learning,University of Maribor,46.5592325,15.643293707372823,,Maribor,,Slovenia
44,Patrick P. C. Lee,Featurespy: Detecting learning-content attacks via feature inspection in secure deduplicated storage,Revisiting frequency analysis against encrypted deduplication via statistical distribution,The Chinese University of Hong Kong,22.4201838,114.20791453524086,,Sha Tin District,Hong Kong,China
45,Xiao Lin,Task-agnostic detector for insertion-based backdoor attacks,Omnilytics: A blockchain-based secure data market for decentralized machine learning,SRI International,37.45648105,-122.17539244060208,San Mateo County,,California,United States
46,Yang Chen,Fine-Grained Side Information Guided Dual-Prompts for Zero-Shot Skeleton Action Recognition,Pass: Patch automatic skip scheme for efficient on-device video perception,Technology of China,31.2787148,120.72376292616886,,Suzhou Industrial Park,Jiangsu,China
47,Xuyang Ma,Towards blockchain-enabled decentralized and secure federated learning,Omnilytics: A blockchain-based secure data market for decentralized machine learning,University of Electronic Science and Technology of China,30.67823145,104.0980033903279,,Chengdu,Sichuan,China
48,Ting Wang,Model extraction attacks revisited,PASS: patch automatic skip scheme for efficient real-time video perception on edge devices,Stony Brook University,40.9090809,-73.12055180275716,Suffolk County,,New York,United States
49,Lu Pang,Task-agnostic detector for insertion-based backdoor attacks,Model Extraction Attacks Revisited,Stony Brook University,40.9090809,-73.12055180275716,Suffolk County,,New York,United States
50,Zeyi Sun,Gpt4point: A unified framework for point-language understanding and generation,Pass: Patch automatic skip scheme for efficient on-device video perception,Shanghai Jiao Tong University,31.200891149999997,121.4283949471511,,Xuhui District,Shanghai,China
51,Xuyang Ma,Towards blockchain-enabled decentralized and secure federated learning,Omnilytics: A blockchain-based secure data market for decentralized machine learning,University of Electronic Science,30.67823145,104.0980033903279,,Chengdu,Sichuan,China
52,Vid Keršič,A review on building blocks of decentralized artificial intelligence,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Computer Science,40.80899825,-73.95987847188215,New York County,New York,New York,United States
53,Jingcai Guo,Dual Expert Distillation Network for Generalized Zero-Shot Learning,Pass: Patch automatic skip scheme for efficient on-device video perception,Hong Kong Polytechnic University,22.3027119,114.178059,,Kowloon,Hong Kong,China
54,Bo Guan,Mapping new realities: Ground truth image creation with pix2pix image-to-image translation,Pass: Patch automatic skip scheme for efficient on-device video perception,Virginia Tech,37.22192675,-80.42728184013652,Montgomery County,Blacksburg,Virginia,United States
55,Xiao Lin,Task-agnostic detector for insertion-based backdoor attacks,Model Extraction Attacks Revisited,SRI International,37.45648105,-122.17539244060208,San Mateo County,,California,United States
56,Songzhu Zheng,Task-agnostic detector for insertion-based backdoor attacks,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Stony Brook University,40.9090809,-73.12055180275716,Suffolk County,,New York,United States
57,Zhongyun Hua,LSDedup: Layered secure deduplication for cloud storage,Revisiting frequency analysis against encrypted deduplication via statistical distribution,Harbin Institute of Technology,45.741589,126.62556263488914,,Harbin,Heilongjiang,China
58,Zhenheng Tang,Fedcv: a federated learning framework for diverse computer vision tasks,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Hong Kong Baptist University,22.33798795,114.18262590878285,,Kowloon,Hong Kong,China
59,Songzhu Zheng,Task-agnostic detector for insertion-based backdoor attacks,Model Extraction Attacks Revisited,Stony Brook University,40.9090809,-73.12055180275716,Suffolk County,,New York,United States
60,Yang Chen,Fine-Grained Side Information Guided Dual-Prompts for Zero-Shot Skeleton Action Recognition,Pass: Patch automatic skip scheme for efficient on-device video perception,University of Electronic Science and Technology of China,30.67823145,104.0980033903279,,Chengdu,Sichuan,China
61,Khoa Tan VO,The benefits and challenges of applying Blockchain technology into Big Data: A literature review,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Vietnam National University,21.0366441,105.7826928,,Hà Nội,,Vietnam
62,Khoa Tan VO,The benefits and challenges of applying Blockchain technology into Big Data: A literature review,Omnilytics: A blockchain-based secure data market for decentralized machine learning,"Ho Chi Minh City, Vietnam",10.7763897,106.7011391,,Ho Chi Minh City,,Vietnam
63,Jiacheng Liang,Model extraction attacks revisited,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Stony Brook University,40.9090809,-73.12055180275716,Suffolk County,,New York,United States
64,Susmit Jha,Task-agnostic detector for insertion-based backdoor attacks,Model Extraction Attacks Revisited,Intelligence,51.487292350000004,-0.1243769864578416,,London,England,United Kingdom
65,Zhijie Rao,Dual Expert Distillation Network for Generalized Zero-Shot Learning,Pass: Patch automatic skip scheme for efficient on-device video perception,The Hong Kong Polytechnic University,22.304486699999998,114.17969345847592,,Kowloon,Hong Kong,China
66,Hejiao Huang,LSDedup: Layered secure deduplication for cloud storage,Revisiting frequency analysis against encrypted deduplication via statistical distribution,哈尔滨工业大学深圳,22.5895016,113.96571049577483,,Nanshan District,Guangdong Province,China
67,Yang Chen,Fine-Grained Side Information Guided Dual-Prompts for Zero-Shot Skeleton Action Recognition,Pass: Patch automatic skip scheme for efficient on-device video perception,University of Electronic Science,30.67823145,104.0980033903279,,Chengdu,Sichuan,China
68,Alay Dilipbhai Shah,Fedcv: a federated learning framework for diverse computer vision tasks,Omnilytics: A blockchain-based secure data market for decentralized machine learning,University of Southern California,34.02186895,-118.285857923125,,Los Angeles,California,United States
69,Khoa Tan VO,The benefits and challenges of applying Blockchain technology into Big Data: A literature review,Omnilytics: A blockchain-based secure data market for decentralized machine learning,University of Information Technology,16.856110100000002,96.1352325743255,,Yangon,Yangon,Myanmar
70,Jingwei Li,Featurespy: Detecting learning-content attacks via feature inspection in secure deduplicated storage,Revisiting frequency analysis against encrypted deduplication via statistical distribution,University of Electronic Science and Technology of China,30.67823145,104.0980033903279,,Chengdu,Sichuan,China
71,Baturalp Buyukates,Proof-of-Contribution-Based Design for Collaborative Machine Learning on Blockchain,Omnilytics: A blockchain-based secure data market for decentralized machine learning,University of Southern California,34.02186895,-118.285857923125,,Los Angeles,California,United States
72,Zhiyong Fang,Proof-of-Contribution-Based Design for Collaborative Machine Learning on Blockchain,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Texas A&M University,30.6108618,-96.35206061388457,Brazos County,College Station,Texas,United States
73,Thu Nguyen,The benefits and challenges of applying Blockchain technology into Big Data: A literature review,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Vietnam National University,21.0366441,105.7826928,,Hà Nội,,Vietnam
74,Rui Jin, Secure and Efficient Federated Learning in Edge Computing,Omnilytics: A blockchain-based secure data market for decentralized machine learning,University of Exeter,50.73693715,-3.534734858662963,Devon,Exeter,England,United Kingdom
75,Yuanzhou Wei,Mapping new realities: Ground truth image creation with pix2pix image-to-image translation,Pass: Patch automatic skip scheme for efficient on-device video perception,Florida International University,25.7553898,-80.3762832779774,Miami-Dade County,Miami,Florida,United States
76,Tong Wu,Gpt4point: A unified framework for point-language understanding and generation,Pass: Patch automatic skip scheme for efficient on-device video perception,The Chinese University of Hong Kong,22.4201838,114.20791453524086,,Sha Tin District,Hong Kong,China
77,Vid Keršič,A review on building blocks of decentralized artificial intelligence,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Faculty of Electrical Engineering,41.316834,19.82188934873777,Tirana County,Tirana,Central Albania,Albania
78,Weimin Lyu,Task-agnostic detector for insertion-based backdoor attacks,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Stony Brook University,40.9090809,-73.12055180275716,Suffolk County,,New York,United States
79,Zhongyun Hua,LSDedup: Layered secure deduplication for cloud storage,Revisiting frequency analysis against encrypted deduplication via statistical distribution,Shenzhen,22.5445741,114.0545429,,Futian District,Guangdong Province,China
80,Ting Wang,Model extraction attacks revisited,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Stony Brook University,40.9090809,-73.12055180275716,Suffolk County,,New York,United States
81,Xuyang Ma,Torr: A lightweight blockchain for decentralized federated learning,Omnilytics: A blockchain-based secure data market for decentralized machine learning,Technology of China,31.2787148,120.72376292616886,,Suzhou Industrial Park,Jiangsu,China
82,Yanjing Ren,Featurespy: Detecting learning-content attacks via feature inspection in secure deduplicated storage,Revisiting frequency analysis against encrypted deduplication via statistical distribution,The Chinese University of Hong Kong,22.4201838,114.20791453524086,,Sha Tin District,Hong Kong,China
83,Xiaoyang Wu,Gpt4point: A unified framework for point-language understanding and generation,Pass: Patch automatic skip scheme for efficient on-device video perception,The University of Hong Kong,22.28269745,114.13845499995571,,Hong Kong Island,Hong Kong,China
84,Jed Mills,Lightweight blockchain-empowered secure and efficient federated edge learning,Omnilytics: A blockchain-based secure data market for decentralized machine learning,University of Exeter,50.73693715,-3.534734858662963,Devon,Exeter,England,United Kingdom
85,Haichao Zhang,OOSTraj: Out-of-Sight Trajectory Prediction With Vision-Positioning Denoising,Pass: Patch automatic skip scheme for efficient on-device video perception,Northeastern University,42.33895455,-71.08805803336392,Suffolk County,Boston,Massachusetts,United States
86,Jiacheng Liang,Model extraction attacks revisited,PASS: patch automatic skip scheme for efficient real-time video perception on edge devices,Stony Brook University,40.9090809,-73.12055180275716,Suffolk County,,New York,United States
